TIPO,REF,Etapa,ACCT,BUDGET
Above the Line,Detalle,SHOOT,1411-069,0
Above the Line,Detalle,SHOOT,1411-070,0
Above the Line,Detalle,SHOOT,1411-071,7922
Above the Line,Detalle,SHOOT,1411-072,6078
Above the Line,Detalle,SHOOT,1411-073,6078
Above the Line,Detalle,SHOOT,1411-074,900
Above the Line,Detalle,,1411-077,0
Above the Line,Detalle,,1411-078,0
Above the Line,Detalle,PREP,1411-079,3000
Above the Line,Detalle,SHOOT,1411-080,6000
Above the Line,Detalle,SHOOT,1411-081,3282
Above the Line,Sub cuenta,,1412,78000
Above the Line,Detalle,,1412-002,0
Above the Line,Detalle,SHOOT,1412-003,42000
Above the Line,Detalle,,1412-006,0
Above the Line,Detalle,SHOOT,1412-007,8000
Above the Line,Detalle,,1412-010,0
Above the Line,Detalle,SHOOT,1412-011,8000
Above the Line,Detalle,,1412-014,0
Above the Line,Detalle,SHOOT,1412-015,4000
Above the Line,Detalle,,1412-018,0
Above the Line,Detalle,SHOOT,1412-019,6000
Above the Line,Detalle,,1412-022,0
Above the Line,Detalle,SHOOT,1412-023,2000
Above the Line,Detalle,,1412-026,0
Above the Line,Detalle,SHOOT,1412-027,2000
Above the Line,Detalle,,1412-030,0
Above the Line,Detalle,SHOOT,1412-031,6000
Above the Line,Detalle,SHOOT,1412-033,
Above the Line,Sub cuenta,,1413,309100
Above the Line,Detalle,,1413-002,0
Above the Line,Detalle,PREP,1413-003,63000
Above the Line,Detalle,SHOOT,1413-004,140000
Above the Line,Detalle,,1413-007,0
Above the Line,Detalle,PREP,1413-008,3500
Above the Line,Detalle,,1413-011,0
Above the Line,Detalle,PREP,1413-012,37500
Above the Line,Detalle,,1413-015,0
Above the Line,Detalle,PREP,1413-016,2100
Above the Line,Detalle,,1413-019,0
Above the Line,Detalle,PREP,1413-020,2100
Above the Line,Detalle,,1413-023,0
Above the Line,Detalle,PREP,1413-024,2800
Above the Line,Detalle,,1413-027,0
Above the Line,Detalle,PREP,1413-028,2100
Above the Line,Detalle,,1413-031,0
Above the Line,Detalle,SHOOT,1413-032,56000
Above the Line,Sub cuenta,,1420,381225
Above the Line,Detalle,,1420-002,0
Above the Line,Detalle,ALL SHOW,1420-003,381225
Above the Line,Sub cuenta,,1426,33868
Above the Line,Detalle,,1426-002,0
Above the Line,Detalle,PREP,1426-003,6384
Above the Line,Detalle,,1426-006,0
Above the Line,Detalle,PREP,1426-007,6477
