SUBTOTAL,PARTIDA PRESUPUESTAL
1521.39,3936-003
1521.39,3936-004
1014.26,3936-003
1014.26,3936-003
10880.0,3442-024
1360.0,3442-024
6800.0,3442-025
3400.0,3442-024
17814.39,3683-006
17814.39,3683-012
26721.58,3683-018
13063.88,3683-024
12826.36,3683-030
6413.18,3683-138
12826.36,3683-042
13063.88,3683-048
13063.88,3683-054
8907.19,3683-060
8907.19,3683-066
8907.19,3683-072
8907.19,3683-078
13063.88,3683-084
8907.19,3683-090
13063.88,3683-096
13360.79,3683-101
16626.76,3683-105
33253.52,3683-109
16626.76,3683-158
16626.76,3683-158
5407.94,3683-171
2969.06,3683-154
29344.44,3902-061
4800.0,3902-065
14672.22,3902-057
4800.0,3902-065
41457.36,3902-056
40000.0,3902-056
472.25,3401-017
673.81,3632-019
350.0,3401-017
247.41,3401-017
83.19,3401-017
237.93,3401-017
601.06,3632-004
33.9,3401-017
512.07,3401-017
284.48,3401-017
352.0,3401-017
218.0,3401-017
65.0,3401-017
115.0,3401-017
956.57,2794-003
1600.0,2794-003
1600.0,2794-003
3401.72,2794-003
2970.7,2794-003
645.69,2794-003
2164.66,2794-003
4243.97,2794-003
1644.83,2794-003
1160.0,2794-003
1400.0,2794-003
3992.41,2794-003
827.59,2794-003
1047.24,2794-003
3258.3,2794-003
863.0,2794-003
3741.38,2794-003
154.31,2794-003
2585.35,2794-003
5687.07,2794-003
601.72,2794-003
1720.7,2794-003
1719.83,2794-003
1854.31,2794-003
688.79,2794-003
387.07,2794-003
11030.61,2794-003
-71848.28,Petty Cash & Floats
6835.5,1641-012
239.24,1699-001
15000.0,Debtor
3439.0,3401-021
37800.0,2013-004
67000.0,1202-004
42000.0,1204-004
42000.0,1204-004
40000.0,2001-004
20000.0,1222-009
16000.0,2014-003
37800.0,2020-003
25000.0,2017-003
18000.0,2020-009
21000.0,1222-003
21000.0,1222-003
52500.0,2004-004
31500.0,2005-004
52500.0,2003-003
30000.0,2005-009
75000.0,2003-013
30000.0,2005-014
16800.0,3402-004
42000.0,3402-004
21000.0,3403-010
21000.0,3403-015
25200.0,3403-003
64680.0,2201-004
43050.0,2202-003
31500.0,2206-003
20000.0,2401-009
35700.0,2401-003
51000.0,2501-003
7500.0,2508-003
25200.0,2203-003
14000.0,2206-015
26775.0,2401-014
17850.0,2401-020
19600.0,2501-009
23100.0,2206-009
28000.0,2705-003
20000.0,2703-003
18000.0,2795-011
45000.0,2701-003
11500.0,2707-009
21000.0,3101-003
126000.0,3101-004
44000.0,5009-004
36900.0,2801-009
12000.0,2804-003
105000.0,2801-003
696.0,7038-009
3344.83,2808-003
150000.0,Petty Cash & Floats
3660.0,7038-009
96000.0,5018-003
52000.0,5022-005
3000.0,5022-009
312000.0,5022-010
150000.0,5022-014
5000.0,5022-018
117000.0,5022-019
208000.0,5022-023
208000.0,5022-027
208000.0,5022-031
152000.0,5022-035
180000.0,5022-039
126000.0,5022-043
168000.0,5101-007
16000.0,5101-011
900000.0,5105-008
5000.0,5105-012
80000.0,5109-003
35089.56,5110-003
6250.0,5001-012
4000.0,5011-010
400.0,5018-008
12000.0,5022-049
5000.0,5022-053
3000.0,5202-008
5000.0,5222-015
5000.0,5207-008
14000.0,Debtor
120712.5,3410-003
120712.5,3410-004
120712.5,3410-005
120712.5,3410-006
120712.5,3410-007
120712.5,3410-005
120712.5,3410-005
120712.5,3410-020
120712.5,3410-021
6629.16,3410-003
6629.16,3410-004
6629.16,3410-005
6629.17,3410-006
6629.17,3410-007
6629.17,3410-005
6629.17,3410-005
6629.17,3410-013
6629.17,3410-013
66600.0,4180-003
55003.0,2485-003
45398.5,2385-003
15876.9,2585-003
46000.0,2010-011
24000.0,2011-004
20000.0,2011-012
11000.0,7001-004
16567505.77,Income (Funding)
2650800.9232,Income (Funding) IVA
4200.0,3442-005
4786.67,3442-005
4546.67,3442-005
4853.0,3442-005
4546.67,3442-005
500000.0,1201-009
30500.0,2508-003
30000.0,Debtor
46000.0,2010-011
24000.0,2011-004
20000.0,2011-012
11000.0,7001-004
25000.0,7002-003
293734.0,7201-003
85200.0,7201-003
476436.02,7201-003
250200.0,7201-003
63074.0,2394-021
50400.0,2494-003
10000.0,Debtor
21700.0,2494-035
162100.0,2494-003
2700241.48,Income (Funding)
432038.64,Income (Funding) IVA
304197.76,Impuestos Pagados (IVA)
173808.09,Impuestos Pagados (ISR)
374400.0,3902-007
389366.16,3902-007
46446.4,3903-003
13933.92,3903-016
34834.8,3903-010
23223.2,3903-022
14099.8,3903-023
104504.4,3903-003
12957.48,3903-010
13125.76,3294-003
10868.54,3185-003
57844.82,3085-004
22752.78,3485-003
56396.9,3185-003
59346.2,4180-003
3529.41,3902-025
105.88,3999-001
40000.0,3902-003
60000.0,Petty Cash & Floats
1800.0,7038-009
150000.0,Petty Cash & Floats
3660.0,7038-009
60000.0,Petty Cash & Floats
1800.0,7038-009
420.0,1426-009
194.83,1426-008
450.0,1426-009
343.97,1426-008
198.28,1426-008
598.5,3401-014
23.0,1426-008
122.0,1426-008
30.74,3401-014
3590.0,3401-038
948.0,3401-037
14132.0,3401-037
25.0,7080-003
7208.97,1620-004
16.0,1426-003
16.0,1426-003
31.0,1426-003
78.86,1426-003
1523.28,1426-003
900.86,1426-003
323.53,2808-003
793.1,2808-003
1133.62,2808-003
103.37,2808-003
34.4,2808-003
1721.98,2808-003
14.0,3412-138
15.0,3412-138
16.0,3412-138
15.0,3412-138
43.0,3401-015
98.8,3401-015
109.2,3401-015
30.74,3401-015
735.9,3401-017
3767.0,3401-017
851.72,3401-017
941.38,3401-017
1559.14,1426-003
870.69,3904-003
14.0,3412-138
15.0,3412-138
16.0,3412-138
15.0,3412-138
43.0,3401-015
98.8,3401-015
109.2,3401-015
30.74,3401-015
2708.59,2794-003
3635.36,2794-003
308.62,2794-003
12548.09,2794-003
206.03,2794-003
16395.83,2794-003
464.66,2794-003
239.65,2794-003
516.38,2794-003
515.52,2794-003
214.66,2794-003
11352.6,2794-003
1506.9,2794-003
2171.72,2794-003
1273.27,2794-003
283.62,2794-003
1405.0,2794-003
343.97,2794-003
839.66,2794-003
507.0,2794-003
1378.45,2794-003
781.46,2794-003
601.73,2794-003
4470.87,2794-003
3539.66,2794-003
360.35,2794-003
3485.35,2794-003
1375.0,2794-003
430.17,2794-003
583.61,2794-003
274.14,2794-003
413.1,2794-003
1292.24,2794-003
693.96,2794-003
195.68,2794-003
300.86,2794-003
946.56,2794-003
742.24,2794-003
4219.83,2794-003
3854.32,2794-003
2755.18,2794-003
2090.52,2794-003
2877.59,2794-003
824.14,2794-003
6379.35,2794-003
6243.1,2794-003
1291.38,2794-003
688.79,2794-003
12487.93,2794-003
2343.62,2794-003
5168.11,2794-003
948.28,2794-003
3181.03,2794-003
3275.86,2794-003
5724.54,2794-003
688.79,2794-003
2669.83,2794-003
106.9,2794-003
1462.07,2794-003
429.31,2794-003
34.11,1426-008
513.38,1487-003
536.45,1487-003
3497.0,4180-003
4551.0,3901-009
17.0,1426-003
17.59,1426-003
88.0,1487-003
349.91,1487-003
399.89,1487-003
3535.57,4180-003
365.39,1487-003
162.87,1487-003
1232.76,3904-003
7869.76,1620-004
2611.0,4180-003
3497.0,4180-003
4083.85,4180-003
12919.04,1640-009
13322.46,1640-009
12546.6,1640-009
5554.11,4180-003
2913.28,1620-004
2877.6,1630-006
619.83,7050-005
3018.11,4180-003
6601.37,4180-003
2128.05,3901-023
4809.49,3901-013
1907.52,4180-003
4922.0,4180-003
2887.0,1426-007
413.78,1487-003
314.99,1487-003
140.41,1487-003
590.81,1487-003
21441.63,1640-005
11258.83,2885-003
160.0,2494-035
450.0,2494-035
1690.0,2494-031
3500.0,2494-031
2519.0,2494-035
1836.0,2494-035
350.0,2494-035
999.14,2494-003
1800.0,2485-003
276.33,2494-027
575.86,2494-003
31.32,2285-003
182.7,2285-003
31.32,2285-003
34.8,2285-003
94.83,2285-003
6390.0,2494-059
375.86,2494-023
168.96,2494-071
12112.06,2494-035
4223.39,2494-027
10.34,2485-003
32.76,2485-003
7418.1,2494-003
519.1,2494-011
33.92,2285-003
10.0,2285-003
2406.9,2494-067
2273.27,2494-003
1201.73,2494-035
258.61,2494-007
418.02,2494-003
8.61,2494-035
603.41,2494-003
780.85,2494-003
38.79,2494-011
476.65,2494-011
146.22,2494-011
604.44,2494-011
51.56,2494-015
422.3,2494-011
637.07,2494-003
103.0,2494-027
-447267.1328,Petty Cash & Floats
21400.0,3902-003
2100.0,2485-003
14910.0,7050-005
297525.0,1401-071
250000.0,Petty Cash & Floats
6100.0,7038-009
200000.0,Petty Cash & Floats
6000.0,7038-009
2160.0,3442-005
2400.0,3442-005
2160.0,3442-005
3120.0,3442-005
3120.0,3442-005
4786.67,3442-006
3120.0,3442-006
3933.33,3442-005
4546.67,3442-006
4546.67,3442-006
4200.0,3442-005
2160.0,3442-005
4240.0,3442-005
720.0,3442-006
720.0,3442-005
720.0,3442-005
37800.0,2013-004
67000.0,1202-004
42000.0,1204-004
42000.0,1204-004
40000.0,2001-004
20000.0,1222-009
16000.0,2014-003
37800.0,2020-003
25000.0,2017-003
21000.0,1222-003
14000.0,2020-021
36000.0,2014-009
27000.0,2014-009
24000.0,2045-003
14000.0,2020-015
12400.0,2019-003
10000.0,3683-127
52500.0,2004-004
31500.0,2005-004
52500.0,2003-003
30000.0,2005-009
50000.0,2003-013
30000.0,2005-014
15000.0,2006-003
138600.0,1301-003
42000.0,3402-004
21000.0,3403-010
21000.0,3403-015
25200.0,3403-003
64680.0,2201-004
43050.0,2202-003
37800.0,2213-003
31500.0,2206-003
17850.0,2401-020
35700.0,2401-003
34000.0,2501-003
25200.0,2203-003
14000.0,2206-015
17850.0,2401-014
1607.5,2405-025
19600.0,2501-009
15400.0,2206-009
15750.0,2403-009
18900.0,2495-011
29400.0,2401-026
16800.0,2402-003
24000.0,2502-003
15750.0,2403-003
7800.0,2403-021
7800.0,2403-021
7800.0,2403-021
28000.0,2705-003
20000.0,2703-003
18000.0,2795-011
45000.0,2701-003
22500.0,2707-003
24000.0,2706-003
25500.0,1413-003
22000.0,5009-004
22000.0,5010-004
24600.0,2801-009
24000.0,2804-003
42000.0,2801-003
10500.0,2802-009
3000.0,3416-003
9000.0,4180-003
6930.0,2494-035
11360.0,2494-003
2200.0,2494-019
3443.1,2594-003
