ACCT,TIPO,BUDGET,COST TO DATE,REF,Etapa,VARIANCE
1107-018,Above the Line,0,0.0,Detalle,,0.0
1107-019,Above the Line,275000,275000.0,Detalle,DEVELOPMENT,0.0
1122-002,Above the Line,0,0.0,Detalle,,0.0
1122-004,Above the Line,0,0.0,Detalle,,0.0
1122-005,Above the Line,125000,125000.0,Detalle,DEVELOPMENT,0.0
1122-008,Above the Line,0,0.0,Detalle,,0.0
1122-010,Above the Line,0,0.0,Detalle,,0.0
1122-011,Above the Line,125000,125000.0,Detalle,DEVELOPMENT,0.0
1193-002,Above the Line,0,0.0,Detalle,,0.0
1193-003,Above the Line,100000,100000.0,Detalle,DEVELOPMENT,0.0
1193-006,Above the Line,0,0.0,Detalle,,0.0
1193-007,Above the Line,125000,125000.0,Detalle,DEVELOPMENT,0.0
1201-002,Above the Line,0,0.0,Detalle,,0.0
1201-003,Above the Line,2149560,2148994.41,Detalle,ALL SHOW,565.589999999851
1201-005,Above the Line,0,0.0,Detalle,,0.0
1201-006,Above the Line,2149560,2149560.0,Detalle,ALL SHOW,0.0
1201-008,Above the Line,0,0.0,Detalle,,0.0
1201-009,Above the Line,1680000,1680000.0,Detalle,ALL SHOW,0.0
1202-002,Above the Line,0,0.0,Detalle,,0.0
1202-003,Above the Line,125000,125000.0,Detalle,SOFT,0.0
1202-004,Above the Line,301500,301500.0,Detalle,PREP,0.0
1202-005,Above the Line,234500,234500.0,Detalle,SHOOT,0.0
1202-006,Above the Line,402000,402000.0,Detalle,WRAP,0.0
1204-002,Above the Line,0,0.0,Detalle,,0.0
1204-003,Above the Line,210000,210000.0,Detalle,SOFT,0.0
1204-004,Above the Line,378000,378000.0,Detalle,PREP,0.0
1204-005,Above the Line,294000,294000.0,Detalle,SHOOT,0.0
1204-006,Above the Line,168000,171750.0,Detalle,WRAP,-3750.0
1222-002,Above the Line,0,0.0,Detalle,,0.0
1222-003,Above the Line,73500,73500.0,Detalle,PREP,0.0
1222-004,Above the Line,73500,75000.0,Detalle,SHOOT,-1500.0
1222-007,Above the Line,0,0.0,Detalle,,0.0
1222-008,Above the Line,50000,50000.0,Detalle,SOFT,0.0
1222-009,Above the Line,367500,367500.0,Detalle,ALL SHOW,0.0
1287-002,Above the Line,0,0.0,Detalle,,0.0
1287-004,Above the Line,0,0.0,Detalle,,0.0
1287-005,Above the Line,52000,46971.340000000004,Detalle,ALL SHOW,5028.659999999996
1287-006,Above the Line,91000,76753.34,Detalle,ALL SHOW,14246.660000000003
1287-007,Above the Line,221000,147313.22,Detalle,ALL SHOW,73686.78
1287-010,Above the Line,0,0.0,Detalle,,0.0
1287-011,Above the Line,117000,117000.0,Detalle,ALL SHOW,0.0
1287-012,Above the Line,91000,91000.0,Detalle,ALL SHOW,0.0
1287-013,Above the Line,221000,221000.0,Detalle,ALL SHOW,0.0
1301-002,Above the Line,0,0.0,Detalle,,0.0
1301-003,Above the Line,462000,483666.66,Detalle,SHOOT,-21666.659999999974
1301-004,Above the Line,31136,58196.200000000004,Detalle,SHOOT,-27060.200000000004
1301-005,Above the Line,6672,8770.7,Detalle,SHOOT,-2098.7000000000007
1301-006,Above the Line,31136,55586.979999999996,Detalle,SHOOT,-24450.979999999996
1301-007,Above the Line,4200,6927.13,Detalle,SHOOT,-2727.13
1301-010,Above the Line,0,0.0,Detalle,,0.0
1301-011,Above the Line,462000,462000.0,Detalle,SHOOT,0.0
1301-012,Above the Line,31136,53694.54,Detalle,SHOOT,-22558.54
1301-013,Above the Line,6672,4990.18,Detalle,SHOOT,1681.8199999999997
1301-014,Above the Line,31136,43303.630000000005,Detalle,SHOOT,-12167.630000000005
1301-015,Above the Line,4200,18278.14,Detalle,SHOOT,-14078.14
1301-018,Above the Line,0,0.0,Detalle,,0.0
1301-019,Above the Line,462000,462000.0,Detalle,SHOOT,0.0
1301-020,Above the Line,31136,0.0,Detalle,SHOOT,31136.0
1301-021,Above the Line,6672,0.0,Detalle,SHOOT,6672.0
1301-022,Above the Line,31136,0.0,Detalle,SHOOT,31136.0
1301-023,Above the Line,4200,0.0,Detalle,SHOOT,4200.0
1301-026,Above the Line,0,0.0,Detalle,,0.0
1301-027,Above the Line,462000,462000.0,Detalle,SHOOT,0.0
1301-028,Above the Line,15568,5829.94,Detalle,SHOOT,9738.060000000001
1301-029,Above the Line,4448,5829.94,Detalle,SHOOT,-1381.9399999999996
1301-030,Above the Line,15568,5829.94,Detalle,SHOOT,9738.060000000001
1301-031,Above the Line,2100,23632.34,Detalle,SHOOT,-21532.34
1301-034,Above the Line,0,0.0,Detalle,,0.0
1301-035,Above the Line,0,0.0,Detalle,SHOOT,0.0
1301-036,Above the Line,15568,5829.94,Detalle,SHOOT,9738.060000000001
1301-037,Above the Line,0,5829.94,Detalle,SHOOT,-5829.94
1301-038,Above the Line,15568,5829.94,Detalle,SHOOT,9738.060000000001
1301-039,Above the Line,2100,5829.94,Detalle,SHOOT,-3729.9399999999996
1302-002,Above the Line,0,0.0,Detalle,,0.0
1302-003,Above the Line,65000,65000.0,Detalle,2nd Unit,0.0
1302-004,Above the Line,130000,130000.0,Detalle,2nd Unit,0.0
1302-005,Above the Line,26688,91881.68999999999,Detalle,2nd Unit,-65193.68999999999
1302-006,Above the Line,6672,14500.46,Detalle,2nd Unit,-7828.459999999999
1302-007,Above the Line,26688,77504.26,Detalle,2nd Unit,-50816.259999999995
1302-008,Above the Line,4200,22108.04,Detalle,2nd Unit,-17908.04
1320-002,Above the Line,0,0.0,Detalle,,0.0
1320-003,Above the Line,75000,79000.0,Detalle,SHOOT,-4000.0
1387-002,Above the Line,0,0.0,Detalle,,0.0
1387-003,Above the Line,21600,0.0,Detalle,PREP,21600.0
1387-004,Above the Line,151200,0.0,Detalle,SHOOT,151200.0
1387-005,Above the Line,0,0.0,Detalle,WRAP,0.0
1387-008,Above the Line,0,0.0,Detalle,,0.0
1387-009,Above the Line,10800,0.0,Detalle,2nd Unit,10800.0
1387-010,Above the Line,21600,0.0,Detalle,2nd Unit,21600.0
1399-001,Above the Line,132743.88,0.0,Detalle,Fringes,132743.88
1401-002,Above the Line,1848000,1848000.0,Detalle,SHOOT,0.0
1401-003,Above the Line,127998,176705.58000000002,Detalle,SHOOT,-48707.580000000016
1401-004,Above the Line,0,0.0,Detalle,SHOOT,0.0
1401-005,Above the Line,0,0.0,Detalle,SHOOT,0.0
1401-006,Above the Line,22974,30363.4,Detalle,SHOOT,-7389.4000000000015
1401-007,Above the Line,39384,101882.51,Detalle,SHOOT,-62498.509999999995
1401-008,Above the Line,14700,0.0,Detalle,SHOOT,14700.0
1401-011,Above the Line,1000000,1000000.0,Detalle,SHOOT,0.0
1401-012,Above the Line,118152,209879.56,Detalle,SHOOT,-91727.56
1401-013,Above the Line,0,0.0,Detalle,SHOOT,0.0
1401-014,Above the Line,0,0.0,Detalle,SHOOT,0.0
1401-015,Above the Line,22974,35066.58,Detalle,SHOOT,-12092.580000000002
1401-016,Above the Line,36102,123218.70999999999,Detalle,SHOOT,-87116.70999999999
1401-017,Above the Line,14700,0.0,Detalle,SHOOT,14700.0
1401-020,Above the Line,210000,183747.9,Detalle,SHOOT,26252.100000000006
1401-021,Above the Line,96852,200330.51,Detalle,SHOOT,-103478.51000000001
1401-022,Above the Line,0,0.0,Detalle,SHOOT,0.0
1401-023,Above the Line,0,0.0,Detalle,SHOOT,0.0
1401-024,Above the Line,32284,39558.020000000004,Detalle,SHOOT,-7274.020000000004
1401-025,Above the Line,32284,95278.22,Detalle,SHOOT,-62994.22
1401-026,Above the Line,14700,0.0,Detalle,SHOOT,14700.0
1401-029,Above the Line,252000,251993.7,Detalle,SHOOT,6.2999999999883585
1401-030,Above the Line,98460,158354.8,Detalle,SHOOT,-59894.79999999999
1401-031,Above the Line,22974,30363.4,Detalle,SHOOT,-7389.4000000000015
1401-032,Above the Line,49230,148991.91999999998,Detalle,SHOOT,-99761.91999999998
1401-033,Above the Line,14700,0.0,Detalle,SHOOT,14700.0
1401-036,Above the Line,252000,252000.0,Detalle,SHOOT,0.0
1401-037,Above the Line,88614,158354.8,Detalle,SHOOT,-69740.79999999999
1401-038,Above the Line,22974,30363.4,Detalle,SHOOT,-7389.4000000000015
1401-039,Above the Line,42666,44955.22,Detalle,SHOOT,-2289.220000000001
1401-040,Above the Line,14700,0.0,Detalle,SHOOT,14700.0
1401-043,Above the Line,228375,456750.0,Detalle,SHOOT,-228375.0
1401-044,Above the Line,13128,0.0,Detalle,SHOOT,13128.0
1401-045,Above the Line,3282,0.0,Detalle,SHOOT,3282.0
1401-046,Above the Line,3282,0.0,Detalle,SHOOT,3282.0
1401-047,Above the Line,1500,0.0,Detalle,SHOOT,1500.0
1401-050,Above the Line,441000,441000.0,Detalle,SHOOT,0.0
1401-051,Above the Line,26256,90943.56999999999,Detalle,SHOOT,-64687.56999999999
1401-052,Above the Line,3282,4500.84,Detalle,SHOOT,-1218.8400000000001
1401-053,Above the Line,0,61061.75,Detalle,SHOOT,-61061.75
1401-054,Above the Line,3900,0.0,Detalle,SHOOT,3900.0
1401-057,Above the Line,199500,199500.0,Detalle,SHOOT,0.0
1401-058,Above the Line,36102,125131.56,Detalle,SHOOT,-89029.56
1401-059,Above the Line,6564,19222.2,Detalle,SHOOT,-12658.2
1401-060,Above the Line,0,12307.8,Detalle,SHOOT,-12307.8
